河北联通,#genre#
石家庄娱乐,http://101.27.106.176:8888/udp/239.253.92.93:8120
石家庄生活,http://101.27.106.176:8888/udp/239.253.92.94:8121
石家庄都市,http://101.27.106.176:8888/udp/239.253.92.95:8122
承德新闻综合,http://101.27.106.176:8888/udp/239.253.92.222:8112
承德公共,http://101.27.106.176:8888/udp/239.253.92.223:8113
张家口新闻综合,http://101.27.106.176:8888/udp/239.253.92.225:8115
张家口公共,http://101.27.106.176:8888/udp/239.253.92.226:8116
秦皇岛新闻综合,http://101.27.106.176:8888/udp/239.253.92.52:6021
秦皇岛公共,http://101.27.106.176:8888/udp/239.253.92.53:6022
秦皇岛影视,http://101.27.106.176:8888/udp/239.253.92.54:6023
唐山新闻综合,http://101.27.106.176:8888/udp/239.253.92.245:6089
唐山生活服务,http://101.27.106.176:8888/udp/239.253.92.126:6026
唐山影视,http://101.27.106.176:8888/udp/239.253.92.127:6027
唐山公共,http://101.27.106.176:8888/udp/239.253.92.128:6028
廊坊新闻,http://101.27.106.176:8888/udp/239.253.92.164:6036
廊坊公共,http://101.27.106.176:8888/udp/239.253.92.166:6037
沧州新闻综合,http://101.27.106.176:8888/udp/239.253.92.121:6015
沧州公共,http://101.27.106.176:8888/udp/239.253.92.122:6016
沧州影视娱乐,http://101.27.106.176:8888/udp/239.253.92.123:6017
保定新闻综合,http://101.27.106.176:8888/udp/239.253.93.2:6153
保定公共频道,http://101.27.106.176:8888/udp/239.253.93.4:6157
保定生活健康,http://101.27.106.176:8888/udp/239.253.93.5:6158
衡水新闻综合,http://101.27.106.176:8888/udp/239.253.93.3:6154
衡水公共,http://101.27.106.176:8888/udp/239.253.93.7:6160
邢台综合,http://101.27.106.176:8888/udp/239.253.93.8:6161
邢台城市生活,http://101.27.106.176:8888/udp/239.253.93.10:6163
邯郸新闻综合,http://101.27.106.176:8888/udp/239.253.93.11:6164
邯郸公共,http://101.27.106.176:8888/udp/239.253.93.12:6165
邯郸科技教育,http://101.27.106.176:8888/udp/239.253.93.13:6166
元氏电视,http://101.27.106.176:8888/udp/239.253.92.142:6040
无极电视,http://101.27.106.176:8888/udp/239.253.92.138:6222
高邑电视,http://101.27.106.176:8888/udp/239.253.92.160:6041
栾城电视,http://101.27.106.176:8888/udp/239.253.92.187:6051
井陉矿区电视,http://101.27.106.176:8888/udp/239.253.92.215:6067
赞皇电视,http://101.27.106.176:8888/udp/239.253.92.12:6042
深泽电视,http://101.27.106.176:8888/udp/239.253.94.31:6630
赵县电视,http://101.27.106.176:8888/udp/239.253.93.140:6308
晋州电视,http://101.27.106.176:8888/udp/239.253.93.156:6324
井陉电视,http://101.27.106.176:8888/udp/239.253.93.205:6383
平泉电视,http://101.27.106.176:8888/udp/239.253.92.156:6012
滦平电视,http://101.27.106.176:8888/udp/239.253.92.100:6142
双滦电视,http://101.27.106.176:8888/udp/239.253.92.147:6224
兴隆电视,http://101.27.106.176:8888/udp/239.253.93.104:6271
隆化电视,http://101.27.106.176:8888/udp/239.253.93.174:6342
承德电视,http://101.27.106.176:8888/udp/239.253.94.28:6627
宽城新闻,http://101.27.106.176:8888/udp/239.253.93.117:6019
任县电视,http://101.27.106.176:8888/udp/239.253.93.145:6313
邯山电视,http://101.27.106.176:8888/udp/239.253.93.146:6314
崇礼电视,http://101.27.106.176:8888/udp/239.253.93.147:6315
顺平电视,http://101.27.106.176:8888/udp/239.253.93.148:6316
张北电视,http://101.27.106.176:8888/udp/239.253.93.159:6327
尚义电视,http://101.27.106.176:8888/udp/239.253.93.163:6331
邱县电视,http://101.27.106.176:8888/udp/239.253.93.158:6326
赤城电视,http://101.27.106.176:8888/udp/239.253.93.160:6328
康保电视,http://101.27.106.176:8888/udp/239.253.93.165:6333
遵化电视,http://101.27.106.176:8888/udp/239.253.93.177:6345
昌黎电视,http://101.27.106.176:8888/udp/239.253.92.109:6217
抚宁电视,http://101.27.106.176:8888/udp/239.253.93.201:6379
卢龙电视,http://101.27.106.176:8888/udp/239.253.93.206:6384
丰南电视,http://101.27.106.176:8888/udp/239.253.92.231:6070
迁西电视,http://101.27.106.176:8888/udp/239.253.92.247:6091
滦南电视,http://101.27.106.176:8888/udp/239.253.92.218:6100
玉田电视,http://101.27.106.176:8888/udp/239.253.92.118:6133
滦州电视,http://101.27.106.176:8888/udp/239.253.92.97:6138
香河电视,http://101.27.106.176:8888/udp/239.253.92.185:6049
大城电视,http://101.27.106.176:8888/udp/239.253.92.230:6068
大厂电视,http://101.27.106.176:8888/udp/239.253.92.253:6244
固安电视,http://101.27.106.176:8888/udp/239.253.93.109:6276
文安电视,http://101.27.106.176:8888/udp/239.253.93.111:6278
三河电视,http://101.27.106.176:8888/udp/239.253.93.143:6311
永清电视,http://101.27.106.176:8888/udp/239.253.93.172:6340
成安电视,http://101.27.106.176:8888/udp/239.253.93.178:6346
魏县电视,http://101.27.106.176:8888/udp/239.253.93.185:6353
霸州综合,http://101.27.106.176:8888/udp/239.253.93.209:6387
黄骅电视,http://101.27.106.176:8888/udp/239.253.92.183:6047
东光电视,http://101.27.106.176:8888/udp/239.253.93.96:6262
青县电视,http://101.27.106.176:8888/udp/239.253.93.139:6307
盐山电视,http://101.27.106.176:8888/udp/239.253.93.144:6312
南皮电视,http://101.27.106.176:8888/udp/239.253.93.149:6317
肃宁电视,http://101.27.106.176:8888/udp/239.253.93.152:6320
吴桥电视,http://101.27.106.176:8888/udp/239.253.93.169:6337
丰宁综合,http://101.27.106.176:8888/udp/239.253.93.210:6388
定兴电视,http://101.27.106.176:8888/udp/239.253.93.14:6167
阜平电视,http://101.27.106.176:8888/udp/239.253.93.16:6169
涞水电视,http://101.27.106.176:8888/udp/239.253.93.17:6170
满城电视,http://101.27.106.176:8888/udp/239.253.93.19:6172
涞源电视,http://101.27.106.176:8888/udp/239.253.93.22:6175
高碑店电视,http://101.27.106.176:8888/udp/239.253.93.23:6176
清苑电视,http://101.27.106.176:8888/udp/239.253.93.24:6177
涿州电视,http://101.27.106.176:8888/udp/239.253.93.27:6180
唐县电视,http://101.27.106.176:8888/udp/239.253.93.30:6183
曲阳电视,http://101.27.106.176:8888/udp/239.253.93.31:6184
望都电视,http://101.27.106.176:8888/udp/239.253.93.32:6185
